LSOA_code,LSOA_name,LAD_code,LAD_name,ITL1_code,Transaction,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
E01013813,Nottingham 022A,E06000018,Nottingham,TLF,Primary_resources_total,5.357,5.487,5.899,7.326,8.202,8.897,9.125,8.686,8.559,8.454,9.277,9.817,13.556,14.893,14.933,14.709,15.134,16.035,16.525,17.225
E01013813,Nottingham 022A,E06000018,Nottingham,TLF,"Property_income,_paid",0.682,0.706,0.940,1.414,1.720,1.791,2.037,0.823,0.513,0.499,0.565,0.558,0.797,0.833,0.888,0.812,1.181,0.984,0.635,0.801
E01013813,Nottingham 022A,E06000018,Nottingham,TLF,Primary_uses_total,0.682,0.706,0.940,1.414,1.720,1.791,2.037,0.823,0.513,0.499,0.565,0.558,0.797,0.833,0.888,0.812,1.181,0.984,0.635,0.801
E01013813,Nottingham 022A,E06000018,Nottingham,TLF,Balance_of_primary_incomes,4.675,4.781,4.959,5.912,6.482,7.105,7.088,7.862,8.046,7.955,8.712,9.259,12.759,14.060,14.045,13.897,13.953,15.051,15.890,16.424
E01013813,Nottingham 022A,E06000018,Nottingham,TLF,Imputed_social_contributions/Social_benefits_received,2.790,2.963,3.300,4.139,4.418,4.894,5.040,5.590,5.880,5.887,6.493,5.218,5.723,5.457,5.628,5.268,5.574,4.415,3.747,3.029
E01013813,Nottingham 022A,E06000018,Nottingham,TLF,"Other_current_transfers,_received",0.407,0.426,0.478,0.632,0.454,0.764,0.708,0.603,0.540,0.729,0.960,0.876,1.352,1.363,1.333,1.445,1.523,1.639,1.664,1.418
E01013813,Nottingham 022A,E06000018,Nottingham,TLF,Secondary_resources_total,3.197,3.389,3.778,4.771,4.871,5.658,5.748,6.193,6.420,6.615,7.453,6.094,7.076,6.820,6.961,6.713,7.097,6.053,5.411,4.447
E01013813,Nottingham 022A,E06000018,Nottingham,TLF,"Current_taxes_on_income,_wealth_etc",0.670,0.699,0.755,0.987,1.085,1.258,1.346,1.327,1.348,1.312,1.357,1.417,1.868,2.086,1.850,1.831,1.625,1.641,1.729,1.974
E01013813,Nottingham 022A,E06000018,Nottingham,TLF,Social_contributions/Social_benefits_paid,0.591,0.550,0.660,0.899,0.946,1.071,1.034,0.905,0.968,0.986,0.953,1.060,0.749,1.561,1.195,1.216,1.231,1.151,1.084,1.291
E01013813,Nottingham 022A,E06000018,Nottingham,TLF,"Other_current_transfers,_paid",0.589,0.646,0.752,0.995,0.833,1.146,1.121,1.103,1.123,1.202,1.343,1.364,2.062,2.138,2.192,2.344,2.207,2.394,2.514,2.420
E01013813,Nottingham 022A,E06000018,Nottingham,TLF,Secondary_uses_total,1.849,1.894,2.167,2.881,2.864,3.474,3.501,3.334,3.438,3.501,3.652,3.842,4.679,5.785,5.237,5.391,5.062,5.186,5.327,5.685
E01013813,Nottingham 022A,E06000018,Nottingham,TLF,Balance_of_secondary_income,1.348,1.495,1.611,1.890,2.007,2.184,2.247,2.859,2.982,3.114,3.800,2.252,2.397,1.035,1.724,1.322,2.035,0.867,0.084,-1.238
E01013813,Nottingham 022A,E06000018,Nottingham,TLF,Gross_Disposable_Household_Income,6.023,6.276,6.570,7.801,8.490,9.289,9.335,10.722,11.028,11.069,12.512,11.511,15.156,15.096,15.769,15.218,15.988,15.918,15.974,15.186
E01013814,Nottingham 022B,E06000018,Nottingham,TLF,Operating_surplus,1.724,1.892,1.937,2.262,2.387,2.211,2.293,2.088,1.832,1.838,2.052,1.965,2.225,2.329,2.530,2.604,2.836,2.886,3.059,3.226
E01013814,Nottingham 022B,E06000018,Nottingham,TLF,Mixed_income,0.781,0.843,0.896,0.986,1.037,1.066,1.127,1.195,1.342,1.403,1.711,1.631,1.889,2.062,2.227,2.253,2.337,2.616,2.585,2.686
E01013814,Nottingham 022B,E06000018,Nottingham,TLF,Compensation_of_employees,7.201,8.029,8.701,9.379,9.562,10.025,10.496,10.181,10.869,11.055,11.617,12.683,12.830,15.118,16.861,17.127,16.768,17.159,18.435,19.891
E01013814,Nottingham 022B,E06000018,Nottingham,TLF,"Property_income,_received",1.106,1.066,1.221,1.391,1.332,1.541,1.536,1.230,1.328,1.370,1.329,1.413,1.480,2.024,1.921,1.994,1.891,1.862,1.634,2.318
